,ID,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
0,1,20000.0,No info,2,2,-1,-1,-2,-2
1,2,120000.0,26 years,-1,2,0,0,0,2
2,3,90000.0,34 years,0,0,0,0,0,0
3,4,50000.0,37 years,0,0,0,0,0,0
4,5,50000.0,57 years,-1,0,-1,0,0,0
5,6,50000.0,No info,0,0,0,0,0,0
6,7,500000.0,29 years,0,0,0,0,0,0
7,8,100000.0,23 years,0,-1,-1,0,0,-1
8,9,140000.0,28 years,0,0,2,0,0,0
9,10,20000.0,35 years,-2,-2,-2,-2,-1,-1
10,1,20000.0,No info,2,2,-1,-1,-2,-2
11,12,260000.0,51 years,-1,-1,-1,-1,-1,2
12,13,630000.0,41 years,-1,0,-1,-1,-1,-1
13,14,70000.0,30 years,1,2,2,0,0,2
14,15,250000.0,29 years,0,0,0,0,0,0
15,16,50000.0,No info,1,2,0,0,0,0
16,17,20000.0,24 years,0,0,2,2,2,2
17,18,320000.0,49 years,0,0,0,-1,-1,-1
18,19,360000.0,49 years,1,-2,-2,-2,-2,-2
19,20,180000.0,29 years,1,-2,-2,-2,-2,-2
20,21,130000.0,No info,0,0,0,0,0,-1
21,22,120000.0,39 years,-1,-1,-1,-1,-1,-1
22,23,70000.0,26 years,2,0,0,2,2,2
23,24,450000.0,40 years,-2,-2,-2,-2,-2,-2
24,25,90000.0,23 years,0,0,0,-1,0,0
25,26,-,23 years,0,0,0,0,0,0
26,27,60000.0,27 years,1,-2,-1,-1,-1,-1
27,28,50000.0,30 years,0,0,0,0,0,0
28,29,50000.0,47 years,-1,-1,-1,-1,-1,-1
29,30,50000.0,26 years,0,0,0,0,0,0
30,31,-,27 years,-1,-1,-1,-1,-1,-1
31,32,50000.0,33 years,2,0,0,0,0,0
32,33,100000.0,32 years,0,0,0,0,0,0
33,34,-,54 years,-2,-2,-2,-2,-2,-2
34,35,500000.0,58 years,-2,-2,-2,-2,-2,-2
35,36,160000.0,No info,-1,-1,-2,-2,-2,-1
36,37,280000.0,40 years,0,0,0,0,0,0
37,38,60000.0,22 years,0,0,0,0,0,-1
38,39,50000.0,25 years,1,-1,-1,-2,-2,-2
39,40,280000.0,31 years,-1,-1,2,-1,0,-1
40,41,360000.0,No info,0,0,0,0,0,0
41,42,70000.0,25 years,0,0,0,0,0,0
42,43,-,22 years,0,0,0,0,0,0
43,44,-,37 years,0,0,0,0,0,0
44,45,40000.0,30 years,0,0,0,2,0,0
45,46,210000.0,No info,-2,-2,-2,-2,-2,-2
46,47,20000.0,22 years,0,0,2,-1,0,0
47,48,150000.0,46 years,0,0,-1,0,0,-2
48,49,380000.0,32 years,-1,-1,-1,-1,-1,-1
49,50,20000.0,24 years,0,0,0,0,0,0
50,11,-,34 years,0,0,2,0,0,-1
51,26,-,23 years,0,0,0,0,0,0
